src,dst,kind,source,detail
RFC7761,RFC4601,obsoletes,RFC7761,rfc-index.xml
RFC7805,RFC896,obsoletes,RFC7805,rfc-index.xml
RFC7805,RFC879,obsoletes,RFC7805,rfc-index.xml
RFC7805,RFC761,obsoletes,RFC7805,rfc-index.xml
RFC8200,RFC2460,obsoletes,RFC8200,rfc-index.xml
RFC9260,RFC4960,obsoletes,RFC9260,rfc-index.xml
RFC9260,RFC4460,obsoletes,RFC9260,rfc-index.xml
RFC9260,RFC7053,obsoletes,RFC9260,rfc-index.xml
RFC9260,RFC6096,obsoletes,RFC9260,rfc-index.xml
RFC9260,RFC8540,obsoletes,RFC9260,rfc-index.xml
RFC9293,RFC6528,obsoletes,RFC9293,rfc-index.xml
RFC9293,RFC6691,obsoletes,RFC9293,rfc-index.xml
RFC9293,RFC6093,obsoletes,RFC9293,rfc-index.xml
RFC9293,RFC879,obsoletes,RFC9293,rfc-index.xml
RFC9293,RFC2873,obsoletes,RFC9293,rfc-index.xml
RFC9293,RFC793,obsoletes,RFC9293,rfc-index.xml
RFC9293,RFC6429,obsoletes,RFC9293,rfc-index.xml
RFC9438,RFC8312,obsoletes,RFC9438,rfc-index.xml
RFC9568,RFC5798,obsoletes,RFC9568,rfc-index.xml
RFC9651,RFC8941,obsoletes,RFC9651,rfc-index.xml
RFC768,RFC760,rfc_ref,RFC768,ref(txt)
RFC768,RFC761,rfc_ref,RFC768,ref(txt)
RFC768,RFC762,rfc_ref,RFC768,ref(txt)
RFC791,RFC792,rfc_ref,RFC791,ref(txt)
RFC791,RFC790,rfc_ref,RFC791,ref(txt)
RFC791,RFC760,rfc_ref,RFC791,ref(txt)
RFC791,RFC795,rfc_ref,RFC791,ref(txt)
RFC791,RFC796,rfc_ref,RFC791,ref(txt)
RFC792,RFC778,rfc_ref,RFC792,ref(txt)
RFC792,RFC791,rfc_ref,RFC792,ref(txt)
RFC821,RFC793,rfc_ref,RFC821,ref(txt)
RFC821,RFC788,rfc_ref,RFC821,ref(txt)
RFC821,RFC822,rfc_ref,RFC821,ref(txt)
RFC823,RFC792,rfc_ref,RFC823,ref(txt)
RFC823,RFC790,rfc_ref,RFC823,ref(txt)
RFC823,RFC791,rfc_ref,RFC823,ref(txt)
RFC908,RFC791,rfc_ref,RFC908,ref(txt)
RFC909,RFC908,rfc_ref,RFC909,ref(txt)
RFC998,RFC969,rfc_ref,RFC998,ref(txt)
RFC1002,RFC1001,rfc_ref,RFC1002,ref(txt)
RFC1002,RFC883,rfc_ref,RFC1002,ref(txt)
RFC1002,RFC950,rfc_ref,RFC1002,ref(txt)
RFC1002,RFC990,rfc_ref,RFC1002,ref(txt)
RFC1005,RFC796,rfc_ref,RFC1005,ref(txt)
RFC1008,RFC889,rfc_ref,RFC1008,ref(txt)
RFC1008,RFC85,rfc_ref,RFC1008,ref(txt)
RFC1045,RFC969,rfc_ref,RFC1045,ref(txt)
RFC1045,RFC955,rfc_ref,RFC1045,ref(txt)
RFC1045,RFC966,rfc_ref,RFC1045,ref(txt)
RFC1066,RFC1024,rfc_ref,RFC1066,ref(txt)
RFC1066,RFC904,rfc_ref,RFC1066,ref(txt)
RFC1066,RFC1065,rfc_ref,RFC1066,ref(txt)
RFC1066,RFC1067,rfc_ref,RFC1066,ref(txt)
RFC1066,RFC815,rfc_ref,RFC1066,ref(txt)
RFC1066,RFC793,rfc_ref,RFC1066,ref(txt)
RFC1066,RFC1052,rfc_ref,RFC1066,ref(txt)
RFC1070,RFC768,rfc_ref,RFC1070,ref(txt)
RFC1070,RFC994,rfc_ref,RFC1070,ref(txt)
RFC1070,RFC995,rfc_ref,RFC1070,ref(txt)
RFC1070,RFC903,rfc_ref,RFC1070,ref(txt)
RFC1070,RFC791,rfc_ref,RFC1070,ref(txt)
RFC1070,RFC792,rfc_ref,RFC1070,ref(txt)
RFC1070,RFC826,rfc_ref,RFC1070,ref(txt)
RFC1076,RFC1023,rfc_ref,RFC1076,ref(txt)
RFC1091,RFC930,rfc_ref,RFC1091,ref(txt)
RFC1091,RFC1010,rfc_ref,RFC1091,ref(txt)
RFC1091,RFC854,rfc_ref,RFC1091,ref(txt)
RFC1091,RFC855,rfc_ref,RFC1091,ref(txt)
RFC1134,RFC1010,rfc_ref,RFC1134,ref(txt)
RFC1134,RFC879,rfc_ref,RFC1134,ref(txt)
RFC1134,RFC791,rfc_ref,RFC1134,ref(txt)
RFC1147,RFC1009,rfc_ref,RFC1147,ref(txt)
RFC1147,RFC1122,rfc_ref,RFC1147,ref(txt)
RFC1147,RFC1123,rfc_ref,RFC1147,ref(txt)
RFC1147,RFC1118,rfc_ref,RFC1147,ref(txt)
RFC1171,RFC879,rfc_ref,RFC1171,ref(txt)
RFC1171,RFC1060,rfc_ref,RFC1171,ref(txt)
RFC1171,RFC791,rfc_ref,RFC1171,ref(txt)
RFC1211,RFC822,rfc_ref,RFC1211,ref(txt)
RFC1241,RFC792,rfc_ref,RFC1241,ref(txt)
RFC1241,RFC793,rfc_ref,RFC1241,ref(txt)
RFC1241,RFC791,rfc_ref,RFC1241,ref(txt)
RFC1244,RFC768,rfc_ref,RFC1244,ref(txt)
RFC1244,RFC1113,rfc_ref,RFC1244,ref(txt)
RFC1244,RFC1135,rfc_ref,RFC1244,ref(txt)
RFC1244,RFC1200,rfc_ref,RFC1244,ref(txt)
RFC1244,RFC854,rfc_ref,RFC1244,ref(txt)
RFC1244,RFC791,rfc_ref,RFC1244,ref(txt)
RFC1244,RFC793,rfc_ref,RFC1244,ref(txt)
RFC1244,RFC1114,rfc_ref,RFC1244,ref(txt)
RFC1244,RFC1115,rfc_ref,RFC1244,ref(txt)
RFC1244,RFC1087,rfc_ref,RFC1244,ref(txt)
RFC1244,RFC959,rfc_ref,RFC1244,ref(txt)
RFC1254,RFC896,rfc_ref,RFC1254,ref(txt)
RFC1254,RFC1122,rfc_ref,RFC1254,ref(txt)
RFC1254,RFC970,rfc_ref,RFC1254,ref(txt)
RFC1254,RFC1009,rfc_ref,RFC1254,ref(txt)
RFC1271,RFC1155,rfc_ref,RFC1271,ref(txt)
RFC1271,RFC1156,rfc_ref,RFC1271,ref(txt)
RFC1271,RFC1157,rfc_ref,RFC1271,ref(txt)
RFC1271,RFC1158,rfc_ref,RFC1271,ref(txt)
RFC1271,RFC1212,rfc_ref,RFC1271,ref(txt)
RFC1271,RFC1109,rfc_ref,RFC1271,ref(txt)
RFC1271,RFC1052,rfc_ref,RFC1271,ref(txt)
RFC1271,RFC1213,rfc_ref,RFC1271,ref(txt)
RFC1271,RFC1215,rfc_ref,RFC1271,ref(txt)
RFC1273,RFC1194,rfc_ref,RFC1273,ref(txt)
RFC1273,RFC1262,rfc_ref,RFC1273,ref(txt)
RFC1301,RFC1112,rfc_ref,RFC1301,ref(txt)
RFC1301,RFC793,rfc_ref,RFC1301,ref(txt)
RFC1333,RFC1155,rfc_ref,RFC1333,ref(txt)
RFC1333,RFC1331,rfc_ref,RFC1333,ref(txt)
RFC1333,RFC1172,rfc_ref,RFC1333,ref(txt)
RFC1333,RFC1213,rfc_ref,RFC1333,ref(txt)
RFC1436,RFC1034,rfc_ref,RFC1436,ref(txt)
RFC1463,RFC1325,rfc_ref,RFC1463,ref(txt)
RFC1463,RFC1392,rfc_ref,RFC1463,ref(txt)
RFC1463,RFC1462,rfc_ref,RFC1463,ref(txt)
RFC1463,RFC1175,rfc_ref,RFC1463,ref(txt)
RFC1463,RFC1402,rfc_ref,RFC1463,ref(txt)
RFC1470,RFC1157,rfc_ref,RFC1470,ref(txt)
RFC1470,RFC1095,rfc_ref,RFC1470,ref(txt)
RFC1470,RFC1065,rfc_ref,RFC1470,ref(txt)
RFC1470,RFC1034,rfc_ref,RFC1470,ref(txt)
RFC1470,RFC1066,rfc_ref,RFC1470,ref(txt)
RFC1470,RFC1098,rfc_ref,RFC1470,ref(txt)
RFC1470,RFC1212,rfc_ref,RFC1470,ref(txt)
RFC1478,RFC1124,rfc_ref,RFC1478,ref(txt)
RFC1478,RFC1092,rfc_ref,RFC1478,ref(txt)
RFC1478,RFC1125,rfc_ref,RFC1478,ref(txt)
RFC1478,RFC1126,rfc_ref,RFC1478,ref(txt)
RFC1478,RFC1164,rfc_ref,RFC1478,ref(txt)
RFC1478,RFC1102,rfc_ref,RFC1478,ref(txt)
RFC1478,RFC1104,rfc_ref,RFC1478,ref(txt)
RFC1478,RFC1267,rfc_ref,RFC1478,ref(txt)
AGGFRAG,DCCP,proto_ref,defining RFC references,derived
AGGFRAG,ESP,proto_ref,defining RFC references,derived
AGGFRAG,IPV4,proto_ref,defining RFC references,derived
AGGFRAG,IPV6,proto_ref,defining RFC references,derived
AH,ESP,proto_ref,defining RFC references,derived
AH,IPV4,proto_ref,defining RFC references,derived
BBN-RCC-MON,BR-SAT-MON,proto_ref,defining RFC references,derived
BBN-RCC-MON,DGP,proto_ref,defining RFC references,derived
BBN-RCC-MON,HMP,proto_ref,defining RFC references,derived
BBN-RCC-MON,IPCV,proto_ref,defining RFC references,derived
BBN-RCC-MON,IPPC,proto_ref,defining RFC references,derived
BBN-RCC-MON,ISO-IP,proto_ref,defining RFC references,derived
BBN-RCC-MON,SAT-MON,proto_ref,defining RFC references,derived
BBN-RCC-MON,WB-MON,proto_ref,defining RFC references,derived
BIT-EMU,ETHERNET,proto_ref,defining RFC references,derived
BIT-EMU,IPV6,proto_ref,defining RFC references,derived
BIT-EMU,MUX,proto_ref,defining RFC references,derived
BIT-EMU,RSVP,proto_ref,defining RFC references,derived
BIT-EMU,TCP,proto_ref,defining RFC references,derived
BR-SAT-MON,BBN-RCC-MON,proto_ref,defining RFC references,derived
BR-SAT-MON,DGP,proto_ref,defining RFC references,derived
BR-SAT-MON,HMP,proto_ref,defining RFC references,derived
BR-SAT-MON,IPCV,proto_ref,defining RFC references,derived
BR-SAT-MON,IPPC,proto_ref,defining RFC references,derived
BR-SAT-MON,ISO-IP,proto_ref,defining RFC references,derived
BR-SAT-MON,SAT-MON,proto_ref,defining RFC references,derived
BR-SAT-MON,WB-MON,proto_ref,defining RFC references,derived
CRUDP,AH,proto_ref,defining RFC references,derived
CRUDP,ESP,proto_ref,defining RFC references,derived
CRUDP,MOBILITY-HEADER,proto_ref,defining RFC references,derived
CRUDP,UDP,proto_ref,defining RFC references,derived
DCCP,ICMP,proto_ref,defining RFC references,derived
DCCP,IPV6,proto_ref,defining RFC references,derived
DCCP,MOBILITY-HEADER,proto_ref,defining RFC references,derived
DCCP,UDPLITE,proto_ref,defining RFC references,derived
DCN-MEAS,PRM,proto_ref,defining RFC references,derived
